model_short,condition,prompt_id,byte_equal,baseline_sha256,mtp_sha256
26b,n3,26b-256-0,False,6f9c885a7c1d697d29d6b0fa743050a2072d79df81cce16096209f8dff3d9f30,2afaf04baab4919e8a38bb1ed4d72b1d98cd2da77b523292f13eeb465ddd345c
26b,n4,26b-256-1,False,75afe836f84af28a35deaf752b1e716da4effb51bbca6ce901e01e49b623edd6,cbfdcdbed9a012aede71b4dad0959a1cb7112cafdc16ac14c222fabddf5d638f
26b,n4,26b-4000-2,False,f0115122363697aa6a4989b1af93d122a4d3513d4be8a6e6908dfe6b411e2ff4,610df6f8ee3ac8bc095df833434a2086778b7202da590786f3eb993d77fde6ba
26b,n4,26b-4000-0,True,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917
26b,n4,26b-256-0,False,6f9c885a7c1d697d29d6b0fa743050a2072d79df81cce16096209f8dff3d9f30,e202b3eb94041f32bec26754c35bbece03953b85bc5475cfb4be21b2ed3cd6c8
26b,n4,26b-1024-0,False,99ee030e9dbf2afdeaf65d6b0fc5bc67fda9d8f16d5097b46aa0f1a66c07e806,6506f4afee2e406bab0a3124e8db1c280c2329a7746feef8023e2b3b5ee9dd80
26b,n4,26b-1024-2,False,38054ec5c906bbeebffd3badc5cef39e3c22c9a2c692dbd9a57cad004973667e,81d5e47ef10fd4eb843f3b80fda06131bb231d10ec0e62dfc718fa727216b34a
26b,n4,26b-4000-1,False,e4c16ef206937338a1d934bcab3033a60388b0589c5ae76d7f2dfffe2291bfd5,27249ed0f90099f9826c57be2a833ebd3382ffeb412c77790dd78c527082847e
26b,n4,26b-1024-1,False,c01d15bb05609f292827428e8c5b0b1996b24b18a9909d0583ac6f1fe6a2744a,72b998673206b90020bd76ddeb0696c6611bc8e4a684825371a3acf3744a1faf
26b,n4,26b-256-2,False,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a,04647b3de22c7b45d4ec160f3c63cc378e7548ab61f88cf90b5338cf6a936ce5
26b,n6,26b-256-2,False,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a,04647b3de22c7b45d4ec160f3c63cc378e7548ab61f88cf90b5338cf6a936ce5
26b,n6,26b-4000-1,False,e4c16ef206937338a1d934bcab3033a60388b0589c5ae76d7f2dfffe2291bfd5,1fef1ff76272efcae0618c811924eef7a13b8096e5a0f42d0c26233967274653
26b,n6,26b-4000-2,False,f0115122363697aa6a4989b1af93d122a4d3513d4be8a6e6908dfe6b411e2ff4,8a84a7d94c961eead51bbe032d3731953bd66523bcbd5f92a7b55021e827acec
26b,n6,26b-1024-0,False,99ee030e9dbf2afdeaf65d6b0fc5bc67fda9d8f16d5097b46aa0f1a66c07e806,6f33562097759f21bc317dd4886f67d08ef48c5b5e6a3966e008013ae824dc43
26b,n6,26b-1024-1,False,c01d15bb05609f292827428e8c5b0b1996b24b18a9909d0583ac6f1fe6a2744a,21790520cf7815af52d75d6b1c501707580db6254d5b719c189e8750c742c529
26b,n6,26b-1024-2,False,38054ec5c906bbeebffd3badc5cef39e3c22c9a2c692dbd9a57cad004973667e,81d5e47ef10fd4eb843f3b80fda06131bb231d10ec0e62dfc718fa727216b34a
26b,n6,26b-4000-0,True,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917
26b,n6,26b-256-0,False,6f9c885a7c1d697d29d6b0fa743050a2072d79df81cce16096209f8dff3d9f30,e202b3eb94041f32bec26754c35bbece03953b85bc5475cfb4be21b2ed3cd6c8
26b,n6,26b-256-1,False,75afe836f84af28a35deaf752b1e716da4effb51bbca6ce901e01e49b623edd6,cbfdcdbed9a012aede71b4dad0959a1cb7112cafdc16ac14c222fabddf5d638f
26b,n8,26b-1024-0,False,99ee030e9dbf2afdeaf65d6b0fc5bc67fda9d8f16d5097b46aa0f1a66c07e806,29b852f5bc11417f625c21676c038d27faee6397f8bd034949db27b642ea3316
26b,n8,26b-1024-1,False,c01d15bb05609f292827428e8c5b0b1996b24b18a9909d0583ac6f1fe6a2744a,21790520cf7815af52d75d6b1c501707580db6254d5b719c189e8750c742c529
