model_short,condition,item_id,family,correct,finish_reason,wall_ms,output_tokens,output_sha256
12b,off_a,ifeval-017,ifeval,True,stop,6098.647204,547,4431f986a281079de661d35d417ec3281fad1743f3bcdc183bd85df706f8699e
12b,off_a,mbpp-015,mbpp,True,stop,420.676442,24,eee918b4317d18580849bd33e3360e3eb0ba64663317e98e1b2cbe720fa691f6
12b,off_a,mmlu_pro-040,mmlu_pro,False,stop,166.273963,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
12b,off_a,mmlu_pro-047,mmlu_pro,True,stop,215.58307,5,f246277cc5248bc3d0e34f18c1e51dbf384b76ba4bc05357a5783df373eefa83
12b,off_a,ifeval-022,ifeval,True,stop,1439.648927,121,a24c3a1591b76a6454171340d74d91afeb50e794ad9b84c2420bf3e86c461876
12b,off_a,gsm8k-028,gsm8k,True,stop,1847.982111,161,e5a1424f4560cad8ccff50334e164b49f008309fae760cd1561cc0f91a1781c1
12b,off_a,mbpp-027,mbpp,True,stop,906.324047,66,c113ae17a302d1fd851d7a78dbfa687df73adf25301e048d21b7431c16659497
12b,off_a,ifeval-005,ifeval,True,stop,3967.24845,349,f3b628124e9bbdc2c5f4893d328410030a1e21a59dcf8c45e1162c0c48eae084
12b,off_a,mbpp-029,mbpp,True,stop,741.861294,57,ffe7a6489e15ea5468f70eda228859660412f367ee69980ee17ac1bbd2ff82a3
12b,off_a,ifeval-010,ifeval,False,stop,3919.73849,350,ab4bdda56c557c96621d2aa422b10fe574c04bf10e09e82d67203e4dbed51201
12b,off_a,gsm8k-032,gsm8k,True,stop,2795.145375,243,32820e6651fe79b72bac56df15c303c10053e3ad5b48d1d5fb310caa1e2573ea
12b,off_a,gsm8k-048,gsm8k,True,stop,2390.996343,206,316074cc7979523488330cea3c1f3e96909d0cc7b9ec7a0e944e825574eb7957
12b,off_a,ifeval-012,ifeval,True,stop,4642.370913,414,a935adfb8d811be0eb412f4483161925825185b2c20297707cf3517b733ec7d0
12b,off_a,mmlu_pro-037,mmlu_pro,False,stop,247.302086,5,f246277cc5248bc3d0e34f18c1e51dbf384b76ba4bc05357a5783df373eefa83
